130,351,PERBANKAN
131,352,OTOMATISASI DAN TATA KELOLA PERKANTORAN
132,352,Akuntansi dan Keuangan Lembaga
133,352,Bisnis daring dan Pemasaran
134,352,Teknik Komputer dan Jaringan
135,352,Multimedia
136,352,Agrobisnis Pengolahan Hasil Pertanian
137,353, 1. Tata Busana
138,353, 2. Kecantikan Rambut
139,353, 3. Akomodasi Perhotelan
140,353, 4. Teknik Pengelasan
141,353, 5. Teknik Bodi Otomotif
142,353, 6. Teknik Kendaraan Ringan
143,354,Desain Pemodelan dan Informasi BANGUNAN
144,354, 2. Teknik Instalasi Tenaga Listrik
145,354, 3. Teknik Komputer dan Jaringan
146,355, 1. Teknik Pengelasan
147,355, 2. Administrasi Perkantoran
148,356, 1. Otomatisasi dan Tata Kelola Perkantoran
149,356, 2. Teknik dan Bisnis Sepeda Motor
150,356, 3. Desain Pemodelan dan Informasi Bangunan
151,356, 4. Teknik Komputer Jaringan
152,357, 1. Agrobisnis Perikanan
153,357, 2. Akuntansi
154,358, 1. Teknik Kimia
155,358, 2. Teknologi Pengolahan Hasil Perikanan
156,358, 3. Teknik Komputer dan Jaringan
157,358, 4. Akuntansi
158,359, 1. Agrobisnis Tanaman Pangan dan Holtikultura
159,359, 2. Teknik Sepeda Motor
160,360, 1. Teknik Kendaraan Ringan
161,360, 2. Teknik Pengelasan
162,361,TEKNIK AUDIO-VIDEO
163,361,TEKNIK KOMPUTER DAN JARINGAN
164,361,AKUNTANSI
165,361,ADMINISTRASI PERKANTORAN
166,361,PEMASARAN
167,361,USAHA PERJALANAN WISATA
168,362,SENI TARI
169,362,SENI KARAWITAN
170,362,SENI MUSIK POPULER
171,362,PEMERANAN
172,362,TATA BUSANA
173,362,TATA KECANTIKAN
174,362,TATA BOGA
175,362,TEKNIK KOMPUTER DAN JARINGAN
176,362,MULTIMEDIA
177,363,KRIYA KAYU
178,363,KRIA TEKSTIL
179,363,KRIA KERAMIK
180,363,KRIA LOGAM
181,363,TEKNIK PENGELASAN
182,363,TEKNIK KENDARAAN RINGAN
183,363,DESAIN KOMUNIKASI VISUAL
184,363,KRIA KULIT
185,363,TEKNIK ALAT BERAT
186,364,DESAIN GRAFIKA
187,364,PRODUKSI GRAFIKA
