36,19,1901,1901039,S,1,SMP ABDI PEMBANGUNAN,JLN. KANKUNG NO. 38 MAKASSAR,KECAMATAN BONTOALA,90152,0411 443827
37,19,1901,1901040,S,1,SMP ISLAM MESJID RAYA,JLN. MESJID RAYA NO 1,KECAMATAN BONTOALA,90156,0411 859388
38,19,1901,1901041,S,1,SMP TRIDHARMA MKGR,JLN. URIP SUMOHARJO NO. 230,KECAMATAN MAKASSAR,90144,0411 455659
39,19,1901,1901042,S,1,SMP SYEKH MUH SAMMAN,JLN. PONGTIKU I NO. 15,KECAMATAN T A L L O,90193,0411 438271
40,19,1901,1901043,S,1,SMP SAWERIGADING,JLN. SEMBILANN NO. 42 MAKASSAR,KECAMATAN BONTOALA,90156,0411 587655
41,19,1901,1901045,S,1,SMP TUJUH LIMA MAKASSAR,JLN. PETTA PONGGAWA NO. 103,KECAMATAN TALLO,90214,0411 440200
42,19,1901,1901046,N,1,SMP NEGERI 5 MAKASSAR,JLN. SUMBA NO. 9 MAKASSAR,KECAMATAN WAJO,90174,0411 317973
43,19,1901,1901047,S,1,SMP KARTIKA WRB I MAKASSAR,JLN. S. LARIANG NO. 1,KECAMATAN UJUNG PANDANG,90113,0411 316002
44,19,1901,1901048,S,1,SMP PRASETYA MAKASSAR,BTP/NHP/Jl. Buntusu No.17,KECAMATAN TAMALANREA,90245,0411 4770832
45,19,1901,1901049,S,1,SMP PGRI 3 SANGIR MAKASSAR,JL. SANGIR LR. 223/9,WAJO,90221,0411 314795
46,19,1901,1901050,S,1,SMP TRISAKTI AROEPALA MAKASSAR,JL. TRISAKTI NO.5 / AROEPALA,,90174,0411 3655175
47,19,1901,1901051,S,1,SMP COKROAMINOTO MAKASSAR,JLN. GUNUNG LATIMOJONG NO. 124,KECAMATAN MAKASSAR,90145,0411 332107
48,19,1901,1901052,S,1,SMP KRISTEN KONDO SAPATA,JLN. SUNGAI SADDANG II NO. 5 MAKASSAR,KECAMATAN MAMAJANG,90141,0411 331405
49,19,1901,1901053,S,1,SMP KRISTEN PELITA KASIH,JL. MONGOSIDI BARU NO. 23,MAKASSAR,90,0411 4464929
50,19,1901,1901054,S,1,SMP TUNAS BANGSA,JL. MONGINSIDI BARU NO. 11,MAKASSAR,90222,0411 453833
51,19,1901,1901055,S,1,SMP ZION GKKA UP MAKASSAR,JLN. S. CEREKANG 22,KECAMATAN UJUNG PANDANG,90115,0411 316167
52,19,1901,1901056,S,1,SMP KATOLIK GARUDA,JLN. S. KELARA LR. 96.A/8,KECAMATAN MAKASSAR,90115,0411 323619
53,19,1901,1901057,N,1,SMP NEGERI 7 MAKASSAR,JLN. CAKALANG NO. 1,KECAMATAN UJUNG TANAH,90165,0411 316238
54,19,1901,1901058,N,3,SMP NEGERI TERBUKA UJUNG TANAH,JLN. CAKALANG NO 1 MAKASSAR,KECAMATAN UJUNG TANAH,90165,0411 332672
55,19,1901,1901059,S,1,SMP DATUK RIBANDANG MAKASSAR,JLN. GATOT SUBROTO IV NO. 2,KECAMATAN T A L L O,90211,0411 459261
56,19,1901,1901063,S,1,SMP HANG TUAH,JLN. SERDAKO USMAN ALI NO.33 MAKASSAR,KECAMATAN UJUNG TANAH,90165,0411 314605
57,19,1901,1901064,S,1,SMP DDI ALIRSYAD RAMPEGADING,JL. KALIMANTAN LR. DDI NO.31,KECAMATAN MAKASSAR,90111,0411 333861
58,19,1901,1901065,S,1,SMP AHMAD YANI,JLN. MUHAMMADIYAH LR. 139 B/NO.40,KECAMATAN W A J O,90174,0411 328906
59,19,1901,1901066,N,1,SMP NEGERI 8 MAKASSAR,JLN. BATUA RAYA NO. 1,KECAMATAN PANAKKUKANG,90233,0411 493722
60,19,1901,1901067,N,1,SMP NEGERI 28 MAKASSAR,PULAU BARRANG LOMPO,KECAMATAN UJUNG TANAH,90166,0411 315957
61,19,1901,1901068,N,1,SMP NEGERI 38 MAKASSAR,PULAU KODINGARENG,KECAMATAN UJUNG TANAH,90196,0411 91742
