74,74,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
75,75,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
76,76,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
77,77,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
78,78,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
79,79,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
80,80,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
81,81,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
82,82,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
83,83,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
84,84,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
85,85,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
86,86,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
87,87,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
88,88,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
89,89,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
90,90,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
91,91,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
92,92,2018/2019,11,35,192.50,77.00,77.00,19.25,19.25,385.00
93,93,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
94,94,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
95,95,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
96,96,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
97,97,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
98,98,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
99,99,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
100,100,2018/2019,2,35,35.00,14.00,14.00,3.50,3.50,70.00
101,101,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
102,102,2018/2019,9,35,157.50,63.00,63.00,15.75,15.75,315.00
103,103,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
104,104,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
105,105,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
106,106,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
107,107,2018/2019,10,35,175.00,70.00,70.00,17.50,17.50,350.00
108,108,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
109,109,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
110,110,2018/2019,4,35,70.00,28.00,28.00,7.00,7.00,140.00
111,111,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
112,112,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
113,113,2018/2019,3,35,52.50,21.00,21.00,5.25,5.25,105.00
114,114,2018/2019,2,35,35.00,14.00,14.00,3.50,3.50,70.00
115,115,2018/2019,2,35,35.00,14.00,14.00,3.50,3.50,70.00
116,116,2018/2019,12,35,210.00,84.00,84.00,21.00,21.00,420.00
117,117,2018/2019,8,35,140.00,56.00,56.00,14.00,14.00,280.00
118,118,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
119,119,2018/2019,6,35,105.00,42.00,42.00,10.50,10.50,210.00
120,120,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
121,121,2018/2019,5,35,87.50,35.00,35.00,8.75,8.75,175.00
122,122,2018/2019,7,35,122.50,49.00,49.00,12.25,12.25,245.00
